"Sample IDs","Animal IDs","Months","Dilutions","Assay","Reaction","Threshold","reps","mean_MPR","mean_MS","mean_TtT","mean_RAF","thres_pos"
"S-1080","B-206",63,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.16342960391407,0.113885056594413,72,0.0138888888888889,FALSE
"S-1080","B-206",63,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.57660963864439,0.226049746188606,72,0.0138888888888889,FALSE
"S-1081","1942",6,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.44322538948356,0.253491786269313,70.624609375,0.0141761534967144,FALSE
"S-1081","1942",6,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,1.56296818770532,0.083450741540315,72,0.0138888888888889,FALSE
"S-1082","B-146",6,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,4.57047427316346,1.61957319688144,71.1366893564356,0.0140638121975231,FALSE
"S-1082","B-146",6,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,2.81219213674365,0.879439380755125,67.9438805104408,0.0148989196487689,FALSE
"S-1083","1945",6,-3,"Nano-QuIC","20250821_r2_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,3.71477069537235,0.733025974332214,69.4290829145729,0.014467458301273,FALSE
"S-1083","1945",6,-3,"RT-QuIC","20250821_r1_GR_USDA-oral-swabs_RT-QuIC",2,4,2.25535967418697,0.629851756348518,70.1024506841739,0.0142807998236666,FALSE
"S-1084","B-112",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.72037251373025,0.275683101617905,70.28642578125,0.014254218308719,FALSE
"S-1084","B-112",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.82442425320305,0.135584748685778,72,0.0138888888888889,FALSE
"S-1085","B-121",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.2644670922436,0.125853037101898,72,0.0138888888888889,FALSE
"S-1085","B-121",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.8908993533677,0.116976069754939,72,0.0138888888888889,FALSE
"S-1086","B-166",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.21367555420835,0.122274120178501,72,0.0138888888888889,FALSE
"S-1086","B-166",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,2.07725213300494,0.45581563288601,71.106668591224,0.0140702126313125,FALSE
"S-1087","1901",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.21280922583888,0.113756174748316,72,0.0138888888888889,FALSE
"S-1087","1901",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.84448931282317,0.118780337169816,72,0.0138888888888889,FALSE
"S-1088","1941",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.18958377562288,0.12348642024764,72,0.0138888888888889,FALSE
"S-1088","1941",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,2.08209159109113,0.255427037592777,67.645,0.0149970990594845,FALSE
"S-1089","1944",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.21447432247367,0.122975744585097,72,0.0138888888888889,FALSE
"S-1089","1944",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.83648022169489,0.149578808548859,72,0.0138888888888889,FALSE
"S-1090","Y-16",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.19751607410466,0.116483852747784,72,0.0138888888888889,FALSE
"S-1090","Y-16",6,-3,"RT-QuIC","20250821_r6_GR_USDA-oral-swabs_RT-QuIC",2,4,1.86508529715446,0.155103199343984,72,0.0138888888888889,FALSE
"S-1091","Y-18",6,-3,"Nano-QuIC","20250821_r13_GR_USDA-oral-swabs_Nano-QuIC",2.7,4,2.18447185263181,0.137474942004631,72,0.0138888888888889,FALSE
