"Sample IDs","Dilutions","MPR","MS","TtT","RAF","Animal IDs","Months","Assay","crossed"
"P",-3,7.31114808652246,3.66278426666667,9.87890625,0.101225780941083,NA,NA,"Nano-QuIC",TRUE
"S-1140",-1,2.27960526315789,1.01973733333333,19.1785714285714,0.0521415270018622,"B-166",0,"Nano-QuIC",TRUE
"S-1145",-1,2.42147435897436,0.99359,19.5,0.0512820512820513,"1905",0,"Nano-QuIC",TRUE
"S-1153",-1,2.23529411764706,0.973856,19.2422680412371,0.0519689257969462,"Y-15",0,"Nano-QuIC",TRUE
"S-1160",-1,2.25040916530278,1.03436933333333,19.974358974359,0.0500641848523748,"B-206",0,"Nano-QuIC",TRUE
"S-1165",-1,2.39512195121951,0.973441333333333,19.1653846153846,0.0521774031707807,"1942",0,"Nano-QuIC",TRUE
"S-1166",-1,2.07592891760905,0.924070666666667,28.3729508196721,0.0352448360537339,"1945",0,"Nano-QuIC",TRUE
"S-1185",-1,2.136,0.910933333333333,24.027027027027,0.0416197975253093,"1904",0,"Nano-QuIC",TRUE
"S-1256",-1,3.53044871794872,0.846153333333333,36.75,0.0272108843537415,"1905",12,"Nano-QuIC",TRUE
"S-1303",-1,2.01458670988655,0.866558,42,0.0238095238095238,"1945",18,"Nano-QuIC",TRUE
"S-1306",-1,2.10666666666667,0.911110666666667,27.24,0.0367107195301028,"B-166",18,"Nano-QuIC",TRUE
"S-1314",-1,2.09271523178808,0.87638,31.4047619047619,0.0318423047763457,"O-39",18,"Nano-QuIC",TRUE
"P",-3,9.65024630541872,4.50136826666667,8.72916666666667,0.114558472553699,NA,NA,"Nano-QuIC",TRUE
"S-1140",-1,2.28785357737105,0.987244,19.1733333333333,0.0521557719054242,"B-166",0,"Nano-QuIC",TRUE
"S-1145",-1,2.34710743801653,1.046832,19.2466216216216,0.0519571704405828,"1905",0,"Nano-QuIC",TRUE
"S-1153",-1,2.2,0.917073333333333,23.32,0.0428816466552316,"Y-15",0,"Nano-QuIC",TRUE
"S-1160",-1,2.25521669341894,0.9374,22.5,0.0444444444444444,"B-206",0,"Nano-QuIC",TRUE
"S-1165",-1,5.92357723577236,2.73604333333333,15.01,0.0666222518321119,"1942",0,"Nano-QuIC",TRUE
"S-1166",-1,2.19967532467532,0.906926666666667,24.25,0.0412371134020619,"1945",0,"Nano-QuIC",TRUE
"S-1185",-1,2.08667736757624,0.896736,28.3448275862069,0.0352798053527981,"1904",0,"Nano-QuIC",TRUE
"S-1256",-1,2.04575163398693,0.884532,32.5625,0.0307101727447217,"1905",12,"Nano-QuIC",TRUE
"S-1303",-1,2.08681672025723,0.853161333333333,29.1640625,0.0342887757835521,"1945",18,"Nano-QuIC",TRUE
"S-1306",-1,1.93129770992366,0.824427866666667,72,0.0138888888888889,"B-166",18,"Nano-QuIC",FALSE
"S-1314",-1,2.0990099009901,0.851485333333333,31.4021739130435,0.0318449290411907,"O-39",18,"Nano-QuIC",TRUE
"N",-3,2.2712146422629,0.874098666666667,20.89,0.0478697941598851,NA,NA,"Nano-QuIC",TRUE
"S-1329",-1,2.53135313531353,0.970297333333333,18.2478991596639,0.0548008289201013,"O-39",0,"Nano-QuIC",TRUE
"S-1332",-1,2.4329563812601,0.934841333333333,19.1458333333333,0.0522306855277476,"B-167",0,"Nano-QuIC",TRUE
"S-1333",-1,2.44065040650406,0.962601333333333,19.2282608695652,0.0520067834934992,"B-204",0,"Nano-QuIC",TRUE
"S-1335",-1,2.18600953895072,0.903021333333333,24.2631578947368,0.0412147505422993,"B-121",0,"Nano-QuIC",TRUE
"S-1376",-1,2.10443037974684,0.873417333333333,26.1666666666667,0.0382165605095541,"B-167",21,"Nano-QuIC",TRUE
"S-1459",-1,2.15923566878981,0.917197333333333,26.5,0.0377358490566038,"1942",33,"Nano-QuIC",TRUE
"S-1467",-1,2.11642743221691,0.869750666666667,27.25,0.036697247706422,"1904",33,"Nano-QuIC",TRUE
"S-1469",-1,2.02652106084243,0.856994666666667,38.4230769230769,0.026026026026026,"Y-15",33,"Nano-QuIC",TRUE
"S-1470",-1,2.0304,0.832,41.3602941176471,0.0241777777777778,"B-204",33,"Nano-QuIC",TRUE
"S-1471",-1,1.99541984732824,0.893638666666667,72,0.0138888888888889,"B-206",33,"Nano-QuIC",FALSE
"S-1483",-1,2.26885245901639,0.804372,32.6847826086957,0.0305952776854007,"B-121",36,"Nano-QuIC",TRUE
"N",-3,1.6572934973638,0.3362624,72,0.0138888888888889,NA,NA,"Nano-QuIC",FALSE
"S-1329",-1,2.45161290322581,0.860215066666667,19.9817708333333,0.0500456144923759,"O-39",0,"Nano-QuIC",TRUE
"S-1332",-1,2.23937007874016,0.896588,19.975,0.0500625782227785,"B-167",0,"Nano-QuIC",TRUE
"S-1333",-1,2.25949367088608,0.911392,19.9791666666667,0.0500521376433785,"B-204",0,"Nano-QuIC",TRUE
"S-1335",-1,2.13870967741935,0.911828,26.1742424242424,0.038205499276411,"B-121",0,"Nano-QuIC",TRUE
"S-1376",-1,2.09633027522936,0.782874933333333,24.175,0.0413650465356774,"B-167",21,"Nano-QuIC",TRUE
"S-1459",-1,2.05047318611987,0.8033644,35.4861111111111,0.0281800391389432,"1942",33,"Nano-QuIC",TRUE
"S-1467",-1,2.06125574272588,0.808576,34.4711538461538,0.0290097629009763,"1904",33,"Nano-QuIC",TRUE
"S-1469",-1,5.78616352201258,2.6477988,15.3018731988473,0.0653514760581948,"Y-15",33,"Nano-QuIC",TRUE
"S-1470",-1,2.07177033492823,0.818713333333334,29.9605263157895,0.0333772507685551,"B-204",33,"Nano-QuIC",TRUE
"S-1471",-1,2.0226904376013,0.827661333333333,40.6547619047619,0.024597364568082,"B-206",33,"Nano-QuIC",TRUE
"S-1483",-1,1.99506578947368,0.807017866666667,72,0.0138888888888889,"B-121",36,"Nano-QuIC",FALSE
"N",-3,2.24918032786885,0.843716,23.4027777777778,0.0427299703264095,NA,NA,"Nano-QuIC",TRUE
"S-1329",-1,2.16639741518578,0.8939148,23.9512195121951,0.0417515274949084,"O-39",0,"Nano-QuIC",TRUE
"S-1332",-1,2.22275641025641,0.899572,19.9760638297872,0.0500599121288776,"B-167",0,"Nano-QuIC",TRUE
"S-1333",-1,2.20678513731826,0.900377333333333,23.9245283018868,0.0417981072555205,"B-204",0,"Nano-QuIC",TRUE
"S-1335",-1,2.1781045751634,0.906318666666667,24.0625,0.0415584415584416,"B-121",0,"Nano-QuIC",TRUE
"S-1376",-1,2.21314102564103,0.869658666666667,24.25,0.0412371134020619,"B-167",21,"Nano-QuIC",TRUE
"S-1459",-1,2.14533965244866,0.804634666666666,27,0.037037037037037,"1942",33,"Nano-QuIC",TRUE
"S-1467",-1,2.11793214862682,0.818524,29.46875,0.0339342523860021,"1904",33,"Nano-QuIC",TRUE
"S-1469",-1,2.13831478537361,0.843667733333333,28.4777777777778,0.0351150994927819,"Y-15",33,"Nano-QuIC",TRUE
"S-1470",-1,2.04166666666667,0.831196,37.86,0.0264131008980454,"B-204",33,"Nano-QuIC",TRUE
"S-1471",-1,1.98086124401914,0.8187132,72,0.0138888888888889,"B-206",33,"Nano-QuIC",FALSE
"S-1483",-1,2.06867671691792,0.844221333333333,32.1666666666667,0.0310880829015544,"B-121",36,"Nano-QuIC",TRUE
"N",-3,2.32242225859247,0.851064,19.425,0.0514800514800515,NA,NA,"Nano-QuIC",TRUE
"S-1329",-1,2.19365609348915,0.872565333333333,23.4858490566038,0.0425788310905804,"O-39",0,"Nano-QuIC",TRUE
"S-1332",-1,2.4070351758794,0.924622666666667,19.8520833333333,0.0503725469619058,"B-167",0,"Nano-QuIC",TRUE
"S-1333",-1,2.11575562700965,0.855305333333333,28.2155172413793,0.0354414909868622,"B-204",0,"Nano-QuIC",TRUE
"S-1335",-1,2.24027072758037,0.915961333333333,24.0102040816327,0.0416489587760306,"B-121",0,"Nano-QuIC",TRUE
"S-1376",-1,2.25,0.830065333333333,28.9444444444444,0.0345489443378119,"B-167",21,"Nano-QuIC",TRUE
"S-1459",-1,2.83743842364532,0.8516696,28.974358974359,0.0345132743362832,"1942",33,"Nano-QuIC",TRUE
"S-1467",-1,2.0652528548124,0.804785333333333,34.71875,0.0288028802880288,"1904",33,"Nano-QuIC",TRUE
"S-1469",-1,3.67483660130719,0.795206933333333,29.8846153846154,0.0334620334620335,"Y-15",33,"Nano-QuIC",TRUE
"S-1470",-1,2.08673469387755,0.836734666666667,32.6176470588235,0.0306582506762849,"B-204",33,"Nano-QuIC",TRUE
"S-1471",-1,1.9967585089141,0.752025333333333,72,0.0138888888888889,"B-206",33,"Nano-QuIC",FALSE
"S-1483",-1,1.97959183673469,0.795918666666667,72,0.0138888888888889,"B-121",36,"Nano-QuIC",FALSE
"P",-3,6.4320652173913,4.8333332,19.6318181818182,0.0509377170641352,NA,NA,"RT-QuIC",TRUE
"S-1062",-1,1.14441416893733,0.810172,72,0.0138888888888889,"B-146",51,"RT-QuIC",FALSE
"S-1063",-1,1.16944444444444,0.829629333333333,72,0.0138888888888889,"1901",51,"RT-QuIC",FALSE
"S-1064",-1,1.12849162011173,0.767225333333333,72,0.0138888888888889,"Y-16",51,"RT-QuIC",FALSE
"S-1065",-1,1.17086834733894,0.806722666666667,72,0.0138888888888889,"Y-15",51,"RT-QuIC",FALSE
"S-1066",-1,1.12912087912088,0.7875464,72,0.0138888888888889,"B-204",51,"RT-QuIC",FALSE
"S-1067",-1,1.21971830985915,0.7774652,72,0.0138888888888889,"B-206",51,"RT-QuIC",FALSE
"S-1068",-1,1.18803418803419,0.733144,72,0.0138888888888889,"B-199",51,"RT-QuIC",FALSE
"S-1069",-1,1.25348189415042,0.735376,72,0.0138888888888889,"Y-23",51,"RT-QuIC",FALSE
"S-1070",-1,1.21590909090909,0.6439392,72,0.0138888888888889,"B-158",51,"RT-QuIC",FALSE
"S-1071",-1,11.3323076923077,5.74358973333333,15.0531496062992,0.0664312802406172,"B-161",51,"RT-QuIC",TRUE
"S-1072",-1,1.34138972809668,0.696878666666667,72,0.0138888888888889,"B-119",51,"RT-QuIC",FALSE
"P",-3,5.90261282660333,4.53840066666667,14.4981060606061,0.0689745264532985,NA,NA,"RT-QuIC",TRUE
"S-1062",-1,1.15561224489796,0.982993333333333,72,0.0138888888888889,"B-146",51,"RT-QuIC",FALSE
"S-1063",-1,1.16497461928934,0.930626666666667,72,0.0138888888888889,"1901",51,"RT-QuIC",FALSE
"S-1064",-1,1.18085106382979,0.893617333333333,72,0.0138888888888889,"Y-16",51,"RT-QuIC",FALSE
"S-1065",-1,1.14470284237726,0.8441,72,0.0138888888888889,"Y-15",51,"RT-QuIC",FALSE
"S-1066",-1,1.16062176165803,0.839378666666667,72,0.0138888888888889,"B-204",51,"RT-QuIC",FALSE
"S-1067",-1,1.41351351351351,0.911712,72,0.0138888888888889,"B-206",51,"RT-QuIC",FALSE
"S-1068",-1,1.168,0.881777333333333,72,0.0138888888888889,"B-199",51,"RT-QuIC",FALSE
"S-1069",-1,1.21428571428571,0.864197333333333,72,0.0138888888888889,"Y-23",51,"RT-QuIC",FALSE
"S-1070",-1,1.23661971830986,0.882629333333333,72,0.0138888888888889,"B-158",51,"RT-QuIC",FALSE
"S-1071",-1,10.3312302839117,6.27129333333333,13.1871428571429,0.0758314375473946,"B-161",51,"RT-QuIC",TRUE
"S-1072",-1,1.2836676217765,0.787010666666667,72,0.0138888888888889,"B-119",51,"RT-QuIC",FALSE
"P",-3,8.8252427184466,3.79935266666667,15.9177419354839,0.0628229810517783,NA,NA,"RT-QuIC",TRUE
"S-1062",-1,1.19543147208122,0.957698666666667,72,0.0138888888888889,"B-146",51,"RT-QuIC",FALSE
"S-1063",-1,1.17487684729064,0.93596,72,0.0138888888888889,"1901",51,"RT-QuIC",FALSE
"S-1064",-1,1.18112244897959,0.925170666666667,72,0.0138888888888889,"Y-16",51,"RT-QuIC",FALSE
"S-1065",-1,1.14705882352941,0.866013333333333,72,0.0138888888888889,"Y-15",51,"RT-QuIC",FALSE
"S-1066",-1,1.22307692307692,0.888889333333333,72,0.0138888888888889,"B-204",51,"RT-QuIC",FALSE
"S-1067",-1,1.22959183673469,0.867346666666667,72,0.0138888888888889,"B-206",51,"RT-QuIC",FALSE
"S-1068",-1,1.18085106382979,0.861702666666667,72,0.0138888888888889,"B-199",51,"RT-QuIC",FALSE
"S-1069",-1,1.23017902813299,0.838874666666667,72,0.0138888888888889,"Y-23",51,"RT-QuIC",FALSE
"S-1070",-1,1.19512195121951,0.784101333333333,72,0.0138888888888889,"B-158",51,"RT-QuIC",FALSE
"S-1071",-1,10.7781155015198,8.2228976,15.0353982300885,0.0665097115950559,"B-161",51,"RT-QuIC",TRUE
"S-1072",-1,1.24725274725275,0.816849333333333,72,0.0138888888888889,"B-119",51,"RT-QuIC",FALSE
"P",-3,9.13926940639269,4.4261796,14.2692307692308,0.0700808625336927,NA,NA,"RT-QuIC",TRUE
"S-1062",-1,1.25984251968504,1.00787466666667,72,0.0138888888888889,"B-146",51,"RT-QuIC",FALSE
"S-1063",-1,1.16666666666667,0.8789388,72,0.0138888888888889,"1901",51,"RT-QuIC",FALSE
"S-1064",-1,1.13114754098361,0.808742666666667,72,0.0138888888888889,"Y-16",51,"RT-QuIC",FALSE
"S-1065",-1,1.18622448979592,0.928572,72,0.0138888888888889,"Y-15",51,"RT-QuIC",FALSE
"S-1066",-1,1.18925831202046,0.893436,72,0.0138888888888889,"B-204",51,"RT-QuIC",FALSE
"S-1067",-1,1.22303921568627,0.8496732,72,0.0138888888888889,"B-206",51,"RT-QuIC",FALSE
"S-1068",-1,1.10714285714286,0.743589333333333,72,0.0138888888888889,"B-199",51,"RT-QuIC",FALSE
